protein_id	entry	complete8	n_common_runs	mean_lfq	mean_log2_psm	mean_log2_nsaf	mean_psm	log2_length_rel	length_method	length_n_precise_cells	length_max_abs_dev_precise	length_interval_low	length_interval_high	n_unique_peptides	log2_n_unique_peptides	n_shared_peptides	mbr_intensity_frac_mean	shared_psm_frac	log2_shared_psm_inflation	resid_log2_psm	resid_log2_nsaf
psvid_34685_sp|Q9NY65|TBA8_HUMAN	TBA8_HUMAN	False	0					0.104185	precise	5	0.0010781			0		17		1			
psvid_34692_sp|Q9UEW3|MARCO_HUMAN	MARCO_HUMAN	False	5	20.0179	0	-16.5773	1	0.315292	precise	5	0.00219562			1	0	0	0	0	-0		
psvid_34697_sp|P26440|IVD_HUMAN	IVD_HUMAN	True	8	23.4246	2.424	-13.8436	7.375	0.0288555	precise	8	0.00209738			11	3.45943	0	0.145721	0	-0	-0.0383559	-0.383386
psvid_34708_sp|P10619|PPGB_HUMAN	PPGB_HUMAN	False	6	20.4718	0.5	-15.9632	1.5	0.201189	precise	6	0.00428945			2	1	0	0	0	-0		
psvid_34711_sp|P33897|ABCD1_HUMAN	ABCD1_HUMAN	True	8	22.6529	1.87952	-15.1946	4	0.834742	precise	8	0.00367925			7	2.80735	1	0.180338	0.03125	0.0458037	0.0439676	-1.1994
psvid_34715_sp|Q02083|NAAA_HUMAN	NAAA_HUMAN	False	3	22.4839	1.66667	-14.4234	3.33333	-0.219301	precise	6	0.00434056			4	2	0	0.0842029	0	-0		
psvid_34725_sp|P55103|INHBC_HUMAN	INHBC_HUMAN	False	0					-0.243679	precise	1	5.38458e-14			0		0		0	-0		
psvid_34733_sp|P69849|NOMO3_HUMAN	NOMO3_HUMAN	False	0					1.54722	precise	8	0.00265016			0		46		1			
psvid_34734_sp|Q15155|NOMO1_HUMAN	NOMO1_HUMAN	False	7	20.8358	5.73346	-12.0671	54.4286	1.54839	precise	8	0.00327262			3	1.58496	44	0.332572	0.969555	5.03765		
psvid_34735_sp|Q5JPE7|NOMO2_HUMAN	NOMO2_HUMAN	False	0					1.60112	precise	8	0.00307819			0		46		1			
psvid_34791_sp|Q8N490|PNKD_HUMAN	PNKD_HUMAN	True	8	24.2763	3.5513	-12.5685	13	-0.118393	precise	8	0.00446271			8	3	0	0.097834	0	-0	0.332441	0.278235
psvid_34797_sp|Q99674|CGRE1_HUMAN	CGRE1_HUMAN	False	4	22.4559	1.79248	-14.001	4.5	-0.395543	precise	4	0.00185834			4	2	0	0.0722521	0	-0		
psvid_34817_sp|P67812|SC11A_HUMAN	SC11A_HUMAN	True	8	25.0755	3.07845	-11.9378	8.625	-1.22311	precise	8	0.00392951			8	3	1	0.249335	0.202899	0.327165	-0.81366	0.344398
psvid_34830_sp|P51589|CP2J2_HUMAN	CP2J2_HUMAN	True	8	25.4314	4.0375	-12.4662	16.75	0.264809	precise	8	0.00265672			17	4.08746	0	0.170746	0	-0	-0.159972	-0.443395
psvid_34833_sp|Q9Y266|NUDC_HUMAN	NUDC_HUMAN	False	4	19.5542	0	-15.9567	1	-0.338259	precise	4	0.00163526			1	0	0	0	0	-0		
psvid_34849_sp|O15020|SPTN2_HUMAN	SPTN2_HUMAN	False	0					2.51671	precise	5	0.00105565			2	1	3		0.6	1.32193		
psvid_34851_sp|Q92539|LPIN2_HUMAN	LPIN2_HUMAN	False	5	22.0045	0.633985	-16.6798	1.8	1.10117	precise	5	0.00216994			3	1.58496	0	0.253372	0	-0		
psvid_34857_sp|Q9UHJ6|SHPK_HUMAN	SHPK_HUMAN	False	1	18.0896	0	-16.4986	1	0.193515	precise	3	0.00145727			1	0	0	0	0	-0		
psvid_34882_sp|O95490|AGRL2_HUMAN	AGRL2_HUMAN	False	1	18.7858	0	-17.9208	1	1.80496	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_34903_sp|O14735|CDIPT_HUMAN	CDIPT_HUMAN	True	8	23.44	2.0192	-13.2475	4.375	-0.972609	precise	8	0.00437362			4	2	0	0.0412075	0	-0	-0.458091	0.202183
psvid_34905_sp|O60603|TLR2_HUMAN	TLR2_HUMAN	False	1	18.6415	0	-17.0228	1	0.906931	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_34906_sp|P11279|LAMP1_HUMAN	LAMP1_HUMAN	True	8	26.095	3.64449	-12.5932	12.625	-0.00011614	precise	8	0.00547712			8	3	0	0.0285418	0	-0	-1.09738	-1.15066
psvid_34923_sp|P24158|PRTN3_HUMAN	PRTN3_HUMAN	True	8	22.8792	1.60172	-13.9291	4.125	-0.70769	precise	8	0.00474026			5	2.32193	0	0.159393	0	-0	-0.400517	-0.0931834
psvid_34961_sp|O60762|DPM1_HUMAN	DPM1_HUMAN	True	8	26.3198	4.53057	-11.0239	23.25	-0.684342	precise	8	0.00135497			16	4	0	0.0175192	0	-0	-0.391181	0.227601
psvid_34974_sp|Q6P9B9|INT5_HUMAN	INT5_HUMAN	False	2	17.5699	0	-17.5284	1	1.28642	precise	2	0.000535363			1	0	0	0	0	-0		
psvid_34976_sp|Q5SSJ5|HP1B3_HUMAN	HP1B3_HUMAN	True	8	23.3182	1.29248	-15.3506	2.875	0.404163	precise	8	0.00287614			5	2.32193	0	0.375431	0	-0	-1.06992	-1.81923
psvid_35000_sp|Q9H254|SPTN4_HUMAN	SPTN4_HUMAN	False	0					2.61737	precise	8	0.00214134			0		1		1			
psvid_35002_sp|P35680|HNF1B_HUMAN	HNF1B_HUMAN	False	0					0.417947	precise	1	5.4734e-14			0		0		0	-0		
psvid_35016_sp|Q9UQG0|POK11_HUMAN	POK11_HUMAN	False	0					1.21359	precise	3	0.00528145			0		1		1			
psvid_35044_sp|Q6TFL3|CC171_HUMAN	CC171_HUMAN	False	5	23.604	0.4	-17.4625	1.4	1.66547	precise	6	0.000908162			2	1	0	0	0	-0		
psvid_35053_sp|P05997|CO5A2_HUMAN	CO5A2_HUMAN	False	6	21.1752	0.166667	-17.9251	1.16667	1.84371	precise	6	0.00100887			1	0	0	0	0	-0		
psvid_35056_sp|P01857|IGHG1_HUMAN	IGHG1_HUMAN	True	8	24.5604	3.48599	-12.6875	12.25	-0.0657457	precise	8	0.00419652			7	2.80735	5	0.0687871	0.387755	0.707819	0.0349395	-0.0297273
psvid_35063_sp|Q9NQL2|RRAGD_HUMAN	RRAGD_HUMAN	False	0					-0.063393	precise	7	0.00449338			0		3		1			
psvid_35064_sp|Q9HB90|RRAGC_HUMAN	RRAGC_HUMAN	False	0					-0.0668989	precise	7	0.00350592			0		3		1			
psvid_35107_sp|Q5VWK5|IL23R_HUMAN	IL23R_HUMAN	False	0					0.592048	precise	1	5.38458e-14			0		0		0	-0		
psvid_35122_sp|Q8N4A0|GALT4_HUMAN	GALT4_HUMAN	False	0					0.467974	precise	5	0.00412203			0		1		1			
psvid_35169_sp|P13533|MYH6_HUMAN	MYH6_HUMAN	False	0					2.21518	precise	6	0.00197279			0		1		1			
psvid_35173_sp|O43747|AP1G1_HUMAN	AP1G1_HUMAN	True	8	25.4883	3.79013	-13.4254	15.625	0.976887	precise	8	0.00390277			19	4.24793	0	0.167552	0	-0	-0.454336	-1.44712
psvid_35188_sp|Q14789|GOGB1_HUMAN	GOGB1_HUMAN	False	6	22.9836	2.50361	-16.7118	6.66667	2.96557	precise	6	0.0056825			11	3.45943	0	0.335368	0	-0		
psvid_35221_sp|Q5BJD5|TM41B_HUMAN	TM41B_HUMAN	True	8	22.5102	2.65076	-13.0658	6.375	-0.521925	precise	8	0.0047235			2	1	0	0.112514	0	-0	0.916542	1.01792
psvid_35234_sp|Q9BTV4|TMM43_HUMAN	TMM43_HUMAN	True	8	24.4478	3.32024	-12.8549	10.875	-0.063097	precise	8	0.00521597			11	3.45943	0	0.108291	0	-0	-0.034789	-0.125227
psvid_35235_sp|Q15393|SF3B3_HUMAN	SF3B3_HUMAN	True	8	23.5344	2.92708	-14.8544	8.75	1.54284	precise	8	0.00459192			14	3.80735	0	0.10972	0	-0	0.355505	-1.47203
psvid_35240_sp|Q9NPD5|SO1B3_HUMAN	SO1B3_HUMAN	True	8	23.4507	3.049	-13.9393	10.5	0.749202	precise	8	0.00323642			9	3.16993	3	0.175086	0.27381	0.46158	0.560982	-0.497154
psvid_35243_sp|P22897|MRC1_HUMAN	MRC1_HUMAN	True	8	26.4353	5.31961	-12.7198	43.125	1.80078	precise	8	0.00472856			45	5.49185	0	0.107963	0	-0	0.313054	-1.55896
psvid_35246_sp|Q8NEN9|PDZD8_HUMAN	PDZD8_HUMAN	True	8	22.0642	1.8064	-15.8981	3.875	1.46562	precise	8	0.00291809			4	2	0	0.0716924	0	-0	0.348845	-1.62431
psvid_35253_sp|P22087|FBRL_HUMAN	FBRL_HUMAN	True	8	22.3054	2.19528	-13.6618	4.75	-0.380862	precise	8	0.00483612			4	2	2	0.140992	0.368421	0.662965	0.59809	0.529943
psvid_35274_sp|Q9UM19|HPCL4_HUMAN	HPCL4_HUMAN	False	0					-1.13057	precise	1	3.9635e-14			0		1		1			
psvid_35288_sp|O00507|USP9Y_HUMAN	USP9Y_HUMAN	False	0					2.61411	precise	3	0.00392638			0		2		1			
psvid_35291_sp|Q04917|1433F_HUMAN	1433F_HUMAN	False	7	21.2707	2.31516	-13.1599	5.28571	-0.766186	precise	8	0.00356965			2	1	3	0.283228	0.738095	1.93289		
psvid_35297_sp|Q8TEM1|PO210_HUMAN	PO210_HUMAN	False	3	19.4247	0.333333	-18.1438	1.33333	2.17601	precise	3	0.00213733			1	0	0	0	0	-0		
psvid_35318_sp|P02100|HBE_HUMAN	HBE_HUMAN	False	0					-1.50624	precise	8	0.00384023			0		1		1			
psvid_35320_sp|Q4G176|ACSF3_HUMAN	ACSF3_HUMAN	False	2	20.0887	0	-16.6953	1	0.463817	precise	2	7.47967e-05			1	0	0	0	0	-0		
psvid_35355_sp|Q9UL63|MKLN1_HUMAN	MKLN1_HUMAN	False	1	20.5118	0	-17.1222	1	0.815603	precise	1	3.61822e-13			1	0	0	0	0	-0		
psvid_35373_sp|Q9BQ39|DDX50_HUMAN	DDX50_HUMAN	False	0					0.818771	precise	1	5.4734e-14			0		1		1			
psvid_35378_sp|Q6NV74|CRCDL_HUMAN	CRCDL_HUMAN	False	1	19.8518	0	-17.3831	1	1.20201	precise	1	5.56222e-14			1	0	0	0	0	-0		
psvid_35392_sp|O15027|SC16A_HUMAN	SC16A_HUMAN	True	8	24.4845	3.13624	-15.5982	11.875	2.49604	precise	8	0.00300182			22	4.45943	0	0.250306	0	-0	-0.249435	-2.89181
psvid_35407_sp|Q96CN5|LRC45_HUMAN	LRC45_HUMAN	False	2	22.7195	0.792481	-16.0928	2	0.682282	precise	2	0.000506251			1	0	0	0	0	-0		
psvid_35466_sp|Q7Z4S6|KI21A_HUMAN	KI21A_HUMAN	False	2	18.832	0	-18.3125	1	2.00304	precise	2	0.00155458			1	0	0	0	0	-0		
psvid_35479_sp|Q12797|ASPH_HUMAN	ASPH_HUMAN	True	8	26.6571	5.619	-11.479	50	0.859241	precise	8	0.00187958			30	4.90689	0	0.0717087	0	-0	0.456862	-0.485074
psvid_35482_sp|Q08380|LG3BP_HUMAN	LG3BP_HUMAN	True	8	23.0074	2.32028	-14.4037	5.625	0.485345	precise	8	0.00367626			8	3	0	0.0984222	0	-0	0.221395	-0.655378
psvid_35490_sp|P69892|HBG2_HUMAN	HBG2_HUMAN	False	0					-1.50624	precise	8	0.00384023			0		1		1			
psvid_35495_sp|Q2TB18|ASTE1_HUMAN	ASTE1_HUMAN	False	0					0.699738	precise	1	5.38458e-14			0		0		0	-0		
psvid_35498_sp|P57088|TMM33_HUMAN	TMM33_HUMAN	True	8	25.1599	3.79021	-11.6896	14.75	-0.758494	precise	8	0.00211124			11	3.45943	0	0.0214946	0	-0	-0.174919	0.531577
psvid_35520_sp|O43390|HNRPR_HUMAN	HNRPR_HUMAN	True	8	23.1557	3.47771	-13.3601	13	0.599519	precise	8	0.00431953			8	3	6	0.137686	0.423077	0.793549	1.25866	0.285402
psvid_35542_sp|Q7L5N7|PCAT2_HUMAN	PCAT2_HUMAN	False	3	20.7433	0	-16.6663	1	0.384707	precise	3	0.00404993			2	1	0	0	0	-0		
psvid_35585_sp|Q9H4G4|GAPR1_HUMAN	GAPR1_HUMAN	False	3	20.4807	1.38998	-13.497	2.66667	-1.43904	precise	5	0.00516607			2	1	0	0	0	-0		
psvid_35598_sp|Q9BTC0|DIDO1_HUMAN	DIDO1_HUMAN	False	0					2.42338	precise	3	0.00257705			0		0		0	-0		
psvid_35615_sp|Q92499|DDX1_HUMAN	DDX1_HUMAN	True	8	25.8234	4.77071	-12.2922	30.875	0.825029	precise	8	0.00591941			30	4.90689	0	0.133857	0	-0	0.255138	-0.608101
psvid_356276_sp|P33261|CP2CJ_HUMAN	CP2CJ_HUMAN	True	8	26.7313	6.8426	-9.71796	118.75	0.22977	precise	1	5.38458e-14			23	4.52356	22	0.0263056	0.662105	1.56535	1.62956	1.22438
psvid_35627_sp|Q9NUL3|STAU2_HUMAN	STAU2_HUMAN	False	2	19.1551	1.58496	-15.0083	3	0.447088	precise	8	0.00271043			1	0	2	0.5	0.761905	2.07039		
psvid_35675_sp|P10074|ZBT48_HUMAN	ZBT48_HUMAN	False	3	23.0801	0	-16.9226	1	0.718999	precise	3	0.000820228			1	0	0	0	0	-0		
psvid_35676_sp|P49221|TGM4_HUMAN	TGM4_HUMAN	False	0					0.710881	precise	8	0.0034691			0		1		1			
psvid_35683_sp|Q63HN8|RN213_HUMAN	RN213_HUMAN	False	5	20.9542	1.03399	-18.8461	2.6	3.6396	precise	5	0.00359957			5	2.32193	0	0.41069	0	-0		
psvid_35707_sp|Q14160|SCRIB_HUMAN	SCRIB_HUMAN	False	4	20.887	0.646241	-17.6073	1.75	1.9858	precise	4	0.00134463			3	1.58496	0	0.471109	0	-0		
psvid_35719_sp|Q13895|BYST_HUMAN	BYST_HUMAN	False	5	19.8373	0.516993	-15.7905	1.6	0.0637529	precise	5	0.00289628			2	1	0	0.175708	0	-0		
psvid_35733_sp|P09132|SRP19_HUMAN	SRP19_HUMAN	False	5	19.065	0.316993	-14.4168	1.4	-1.53687	precise	5	0.00493763			1	0	0	0	0	-0		
psvid_357377_sp|Q8NBQ5|DHB11_HUMAN	DHB11_HUMAN	True	8	28.2565	6.08591	-9.79657	78.125	-0.477667	precise	4	0.000788156			26	4.70044	0	0.0141354	0	-0	-0.198105	0.253588
psvid_35739_sp|P85299|PRR5_HUMAN	PRR5_HUMAN	False	1	19.663	0	-16.0736	1	-0.103751	precise	1	5.4734e-14			1	0	0	0	0	-0		
psvid_35763_sp|O00291|HIP1_HUMAN	HIP1_HUMAN	False	2	21.0837	1.29248	-16.2647	2.5	1.31051	precise	3	0.00253258			2	1	0	0	0	-0		
psvid_35767_sp|E9PQR5|NPIB8_HUMAN	NPIB8_HUMAN	False	0					0.0522968	precise	4	0.00853534			0		1		1			
psvid_35769_sp|E9PJ23|NPIB6_HUMAN	NPIB6_HUMAN	False	0					0.028711	precise	4	0.00842558			0		1		1			
psvid_35777_sp|Q96A23|CPNE4_HUMAN	CPNE4_HUMAN	False	0					0.414901	precise	8	0.00634703			0		1		1			
psvid_35795_sp|O00763|ACACB_HUMAN	ACACB_HUMAN	True	8	24.8375	4.34861	-14.4473	21.5	2.5573	precise	8	0.00184895			25	4.64386	9	0.224906	0.267442	0.448985	0.656985	-1.99038
psvid_35816_sp|P20702|ITAX_HUMAN	ITAX_HUMAN	False	0					1.47661	precise	1	5.38458e-14			0		1		1			
psvid_35824_sp|Q12931|TRAP1_HUMAN	TRAP1_HUMAN	False	7	22.5955	1.79785	-15.2106	3.85714	0.751772	precise	8	0.00245849			5	2.32193	1	0.666861	0.633333	1.44746		
psvid_35831_sp|Q9BWU0|NADAP_HUMAN	NADAP_HUMAN	False	0					0.828423	precise	1	5.38458e-14			0		0		0	-0		
psvid_35844_sp|Q9Y2W1|TR150_HUMAN	TR150_HUMAN	False	2	21.4413	1.66096	-15.7322	3.5	1.19018	precise	2	0.000444121			2	1	0	0	0	-0		
psvid_35851_sp|P10644|KAP0_HUMAN	KAP0_HUMAN	True	8	22.7774	1.78084	-14.3244	4.125	-0.133808	precise	8	0.00394921			7	2.80735	0	0.287717	0	-0	-0.145947	-0.416525
psvid_35888_sp|Q969V5|MUL1_HUMAN	MUL1_HUMAN	False	1	18.5718	0	-16.1982	1	-0.243337	precise	1	3.9635e-14			1	0	0	0	0	-0		
psvid_35926_sp|P82930|RT34_HUMAN	RT34_HUMAN	False	6	19.1105	0.166667	-15.1464	1.16667	-0.937254	precise	6	0.00303273			1	0	0	0	0	-0		
psvid_35945_sp|O75923|DYSF_HUMAN	DYSF_HUMAN	True	8	25.273	3.20194	-15.3519	13	2.31521	precise	8	0.00196835			32	5	0	0.468044	0	-0	-0.861528	-3.21134
psvid_35979_sp|P42858|HD_HUMAN	HD_HUMAN	False	5	18.8192	0.2	-18.9498	1.2	2.91201	precise	6	0.0025836			1	0	0	0	0	-0		
psvid_35995_sp|Q9NPG8|ZDHC4_HUMAN	ZDHC4_HUMAN	False	0					-0.276353	precise	1	5.56222e-14			0		0		0	-0		
psvid_35997_sp|O43903|GAS2_HUMAN	GAS2_HUMAN	False	1	20.8029	1	-14.8916	2	-0.414998	precise	1	3.61822e-13			2	1	0	0	0	-0		
psvid_36009_sp|P84157|MXRA7_HUMAN	MXRA7_HUMAN	False	7	20.2226	1.02428	-14.1979	2.28571	-1.03436	precise	7	0.00199274			1	0	0	0	0	-0		
psvid_36023_sp|Q9P0K7|RAI14_HUMAN	RAI14_HUMAN	False	5	21.2575	0.716993	-16.7241	1.8	1.22946	precise	6	0.00435106			1	0	0	0	0	-0		
psvid_36029_sp|P60059|SC61G_HUMAN	SC61G_HUMAN	False	2	21.2243	0	-13.5293	1	-2.61913	precise	2	0.000242315			1	0	0	0	0	-0		
psvid_36033_sp|P06865|HEXA_HUMAN	HEXA_HUMAN	False	6	22.4338	0.597494	-15.9939	1.66667	0.34119	precise	6	0.00649827			3	1.58496	0	0.338531	0	-0		
psvid_36040_sp|P14778|IL1R1_HUMAN	IL1R1_HUMAN	False	0					0.449537	precise	1	5.38458e-14			0		0		0	-0		
psvid_36042_sp|Q8IV08|PLD3_HUMAN	PLD3_HUMAN	False	5	21.5983	0.833985	-15.6738	2	0.230668	precise	5	0.00368505			3	1.58496	0	0.278079	0	-0		
psvid_36056_sp|O75093|SLIT1_HUMAN	SLIT1_HUMAN	False	4	20.8755	0.5	-17.6053	1.5	1.87652	precise	5	0.00199306			1	0	0	0	0	-0		
psvid_36066_sp|Q96NU7|HUTI_HUMAN	HUTI_HUMAN	False	5	21.7668	1.03399	-15.2892	2.2	0.0288555	precise	6	0.00173055			4	2	0	0.428729	0	-0		
psvid_36077_sp|Q9Y2W2|WBP11_HUMAN	WBP11_HUMAN	False	3	19.6693	0	-16.8105	1	0.617499	precise	3	0.000414358			1	0	0	0	0	-0		
psvid_36108_sp|O00505|IMA4_HUMAN	IMA4_HUMAN	False	0					0.318491	precise	1	3.9635e-14			0		1		1			
psvid_36130_sp|P04733|MT1F_HUMAN	MT1F_HUMAN	False	0					-2.77636	precise	6	0.000768867			0		1		1			
psvid_36135_sp|Q93009|UBP7_HUMAN	UBP7_HUMAN	False	3	19.7903	0	-17.691	1	1.39903	precise	4	0.00114299			1	0	0	0	0	-0		
psvid_36176_sp|Q659C4|LAR1B_HUMAN	LAR1B_HUMAN	False	0					1.12889	precise	4	0.000709627			0		1		1			
psvid_36206_sp|P46734|MP2K3_HUMAN	MP2K3_HUMAN	False	4	19.3231	0	-15.9883	1	-0.266081	precise	4	0.00563818			1	0	0	0	0	-0		
psvid_36211_sp|O15031|PLXB2_HUMAN	PLXB2_HUMAN	False	7	24.6016	3.58143	-14.8085	14.1429	2.13756	precise	7	0.00425543			26	4.70044	1	0.319473	0.030303	0.0443941		
psvid_36218_sp|P56199|ITA1_HUMAN	ITA1_HUMAN	True	8	26.6026	5.19699	-12.5377	38.625	1.49656	precise	8	0.00492008			35	5.12928	0	0.14001	0	-0	0.0731645	-1.50258
psvid_36262_sp|P55795|HNRH2_HUMAN	HNRH2_HUMAN	False	6	22.854	3.49994	-12.8533	12.3333	0.102747	precise	8	0.00504663			5	2.32193	4	0.330749	0.721519	1.84435		
psvid_36285_sp|Q92556|ELMO1_HUMAN	ELMO1_HUMAN	False	3	20.1338	0	-17.0697	1	0.798499	precise	3	0.00124528			1	0	0	0	0	-0		
psvid_36294_sp|Q9H330|TM245_HUMAN	TM245_HUMAN	True	8	22.2998	1.95488	-15.3572	4.375	1.0734	precise	8	0.00341922			4	2	0	0.0375494	0	-0	0.361221	-1.16287
psvid_36304_sp|A7MBM2|DISP2_HUMAN	DISP2_HUMAN	False	1	20.3344	0	-17.9718	1	1.74685	precise	2	1.02577e-05			1	0	0	0	0	-0		
psvid_36323_sp|Q56VL3|OCAD2_HUMAN	OCAD2_HUMAN	True	8	24.1032	3.88687	-10.9116	15.375	-1.44015	precise	8	0.00149698			10	3.32193	0	0.0412816	0	-0	0.803769	2.06553
psvid_36339_sp|Q9NRG7|D39U1_HUMAN	D39U1_HUMAN	True	8	22.3631	2.05864	-13.6675	4.5	-0.511396	precise	8	0.00654501			5	2.32193	0	0.10407	0	-0	0.424044	0.495624
psvid_36345_sp|P41227|NAA10_HUMAN	NAA10_HUMAN	False	7	22.5975	2.0395	-13.3817	5	-0.830732	precise	7	0.00368194			5	2.32193	1	0.459888	0.257143	0.428843		
psvid_36348_sp|Q68CZ2|TENS3_HUMAN	TENS3_HUMAN	False	0					1.79013	precise	4	0.00103388			0		2		1			
psvid_36362_sp|Q9UP52|TFR2_HUMAN	TFR2_HUMAN	True	8	25.927	4.6982	-12.4801	28.125	0.939094	precise	8	0.00239688			23	4.52356	1	0.0639079	0.0311111	0.0455969	0.0964044	-0.889874
psvid_36395_sp|Q8IWB9|TEX2_HUMAN	TEX2_HUMAN	True	8	23.0104	1.93364	-15.7365	4.125	1.43143	precise	8	0.00341377			8	3	0	0.395231	0	-0	-0.167554	-1.99026
psvid_36397_sp|P0DJI8|SAA1_HUMAN	SAA1_HUMAN	True	8	27.1945	5.65277	-8.87142	51.5	-1.72875	interval	0		-1.80716	-1.65034	3	1.58496	5	0	0.531553	1.09404	0.135978	1.78936
psvid_36409_sp|Q15021|CND1_HUMAN	CND1_HUMAN	False	1	19.7711	1.58496	-16.3831	3	1.74316	precise	1	5.38458e-14			1	0	0	0	0	-0		
psvid_36421_sp|Q9UGT4|SUSD2_HUMAN	SUSD2_HUMAN	False	5	21.2276	0.4	-16.8302	1.4	0.976552	precise	5	0.00250375			2	1	0	0.129118	0	-0		
psvid_36456_sp|Q6ZTN6|AN13D_HUMAN	AN13D_HUMAN	False	0					0.535322	precise	2	0.00167755			0		1		1			
psvid_36471_sp|P00742|FA10_HUMAN	FA10_HUMAN	False	5	22.0581	0.716993	-15.7845	1.8	0.221985	precise	5	0.00490006			4	2	0	0.300006	0	-0		
psvid_36474_sp|Q02880|TOP2B_HUMAN	TOP2B_HUMAN	False	2	19.232	0	-18.2019	1	1.95991	precise	2	0.000620001			1	0	0	0	0	-0		
psvid_36476_sp|P17931|LEG3_HUMAN	LEG3_HUMAN	False	6	19.1154	0.166667	-15.3425	1.16667	-0.741759	precise	6	0.00291419			1	0	0	0	0	-0		
psvid_36489_sp|Q8WXG9|AGRV1_HUMAN	AGRV1_HUMAN	False	1	19.3081	0	-20.2232	1	3.91661	precise	3	8.11689e-05			1	0	0	0	0	-0		
psvid_36490_sp|Q8IY26|PLPP6_HUMAN	PLPP6_HUMAN	False	6	21.8336	0.5	-15.2048	1.5	-0.502925	precise	6	0.00452662			3	1.58496	0	0.157508	0	-0		
psvid_36497_sp|Q53EL6|PDCD4_HUMAN	PDCD4_HUMAN	False	5	22.7599	1.47846	-14.9766	3.4	0.167753	precise	6	0.00282896			4	2	0	0.0691284	0	-0		
psvid_36498_sp|Q9H074|PAIP1_HUMAN	PAIP1_HUMAN	False	2	19.1085	0	-16.3409	1	0.194337	precise	2	0.000821208			1	0	0	0	0	-0		
psvid_36543_sp|O75173|ATS4_HUMAN	ATS4_HUMAN	False	0					1.0017	precise	2	0.000385477			0		0		0	-0		
psvid_36556_sp|O00159|MYO1C_HUMAN	MYO1C_HUMAN	True	8	26.1105	4.77035	-12.815	29.75	1.34663	precise	8	0.00345292			35	5.12928	0	0.188345	0	-0	0.0155797	-1.38587
psvid_36580_sp|P23497|SP100_HUMAN	SP100_HUMAN	False	0					1.07374	precise	7	0.00325915			0		2		1			
psvid_36588_sp|P34913|HYES_HUMAN	HYES_HUMAN	True	8	25.5963	4.141	-12.5081	18.25	0.410335	precise	8	0.00331092			22	4.45943	0	0.336229	0	-0	-0.191138	-0.618881
psvid_36610_sp|P55010|IF5_HUMAN	IF5_HUMAN	False	6	22.9704	2.10245	-14.1928	4.66667	0.0443313	precise	6	0.00174742			5	2.32193	0	0.0738131	0	-0		
psvid_36643_sp|O00168|PLM_HUMAN	PLM_HUMAN	True	8	21.6354	1.31148	-12.7438	2.75	-2.18326	precise	8	0.00502569			1	0	0	0	0	-0	0.0678301	1.58722
psvid_36649_sp|Q12913|PTPRJ_HUMAN	PTPRJ_HUMAN	False	0					1.67748	precise	2	0.00106502			0		0		0	-0		
psvid_36652_sp|Q9Y623|MYH4_HUMAN	MYH4_HUMAN	False	0					2.21518	precise	6	0.00197279			0		1		1			
psvid_36653_sp|P12882|MYH1_HUMAN	MYH1_HUMAN	False	0					2.21518	precise	6	0.00197279			0		1		1			
psvid_36656_sp|P98175|RBM10_HUMAN	RBM10_HUMAN	False	4	20.9854	0.5	-16.9129	1.5	1.15313	precise	4	0.00414443			3	1.58496	0	0.192925	0	-0		
psvid_36681_sp|Q96MK3|FA20A_HUMAN	FA20A_HUMAN	False	5	20.1376	0.516993	-16.1256	1.6	0.370352	precise	7	0.00407052			2	1	1	0.46561	0.2	0.321928		
psvid_36701_sp|Q9BU61|NDUF3_HUMAN	NDUF3_HUMAN	False	0					-1.18237	precise	2	3.50978e-05			0		0		0	-0		
psvid_36713_sp|P15880|RS2_HUMAN	RS2_HUMAN	True	8	28.1006	5.61301	-10.1175	52.5	-0.511935	precise	6	0.00062127			18	4.16993	0	0.00313229	0	-0	-0.551486	0.0180877
psvid_36725_sp|Q9Y4D7|PLXD1_HUMAN	PLXD1_HUMAN	False	1	20.8693	1.58496	-17.0597	3	2.20314	precise	3	0.000352077			2	1	1	0	0.428571	0.807355		
psvid_36729_sp|P21291|CSRP1_HUMAN	CSRP1_HUMAN	False	4	20.9478	0.25	-14.9274	1.25	-1.11375	precise	7	0.00250306			2	1	0	0	0	-0		
psvid_36752_sp|Q9NSC2|SALL1_HUMAN	SALL1_HUMAN	False	2	20.1926	0	-17.8109	1	1.66428	precise	2	0.000903813			1	0	0	0	0	-0		
psvid_36755_sp|Q96EY8|MMAB_HUMAN	MMAB_HUMAN	False	2	19.5908	0	-15.6365	1	-0.74325	precise	3	0.00075093			1	0	0	0	0	-0		
psvid_36760_sp|P02008|HBAZ_HUMAN	HBAZ_HUMAN	False	0					-1.55688	precise	7	0.00186144			0		1		1			
psvid_36799_sp|Q9UMX5|NENF_HUMAN	NENF_HUMAN	True	8	25.4425	3.76743	-11.1914	14.5	-1.27987	precise	8	0.00161544			10	3.32193	0	0.0866092	0	-0	-0.43929	0.822803
psvid_36814_sp|O94875|SRBS2_HUMAN	SRBS2_HUMAN	False	4	20.9792	0.25	-17.4064	1.25	1.39621	precise	5	0.000933806			2	1	0	0.107522	0	-0		
