protein_id	entry	sample_id	batch	condition	has_lfq	has_psm	in_common	complete8	lfq	psm	log2_psm	log2_psm_runnorm	nsaf	log2_nsaf	nsaf_precise	log2_length_rel	psm_bin	resid_log2_psm	resid_log2_nsaf	resid_lfq_given_psm	lfq_decile	n_unique_peptides_msms_run	n_unique_peptides_mbr_run	mbr_intensity_frac_run	shared_psm_frac_run	fit_log2_psm_given_lfq	fit_log2_nsaf_given_lfq
psvid_55047_sp|Q9GZU1|MCLN1_HUMAN	MCLN1_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	19.344						False	0.473159						0	1	1			
psvid_55070_sp|O95255|MRP6_HUMAN	MRP6_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.8971	9	3.16993	3.11526	3.06e-05	-14.9961	True	1.84621	8-15	0.227338	-1.8309	-0.0792959	6	7	3	0.25187	0	2.94259	-13.1652
psvid_55085_sp|Q5TAX3|TUT4_HUMAN	TUT4_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.2726	1	0	-0.0546697	3.11e-06	-18.2947	True	1.97739	1	-1.46784	-3.68702	1.3846	3	1	0	0	0	1.46784	-14.6076
psvid_55114_sp|P59666|DEF3_HUMAN	DEF3_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		9	3.16993	3.11526	0.00049	-10.9949	True	-2.15219	8-15					0	0		1		
psvid_55115_sp|P59665|DEF1_HUMAN	DEF1_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		9	3.16993	3.11526	0.00049	-10.9949	True	-2.15219	8-15					0	0		1		
psvid_55138_sp|Q6PCB7|S27A1_HUMAN	S27A1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.0185	4	2	1.94533	3.17e-05	-14.9452	True	0.628843	4-7	-0.0931602	-0.969398	0.261256	5	3	0	0	0	2.09316	-13.9758
psvid_55195_sp|Q13510|ASAH1_HUMAN	ASAH1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	25.8407	9	3.16993	3.11526	0.000117	-13.0612	True	-0.0815871	8-15	-1.3932	-1.43587	1.86434	9	7	1	0.127398	0	4.56312	-11.6253
psvid_55202_sp|Q07666|KHDR1_HUMAN	KHDR1_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	20.719						False	0.0874737						0	1	1			
psvid_55206_sp|P28838|AMPL_HUMAN	AMPL_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	25.6813	25	4.64386	4.58919	0.000246	-11.9891	True	0.311479	16-31	0.20685	-0.235952	-0.0586147	8	16	4	0.106135	0	4.43701	-11.7531
psvid_55231_sp|Q9UJ68|MSRA_HUMAN	MSRA_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	22.464	5	2.32193	2.26726	0.000109	-13.1634	True	-0.830018	4-7	0.705112	1.29276	-0.589357	4	5	0	0	0	1.61682	-14.4561
psvid_55233_sp|O43488|ARK72_HUMAN	ARK72_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		2	1	0.94533	2.85e-05	-15.0987	True	-0.218976	2-3					0	0		1		
psvid_55241_sp|Q9HAT2|SIAE_HUMAN	SIAE_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.821	2	1	0.94533	1.96e-05	-15.6388	True	0.32152	2-3	-0.916457	-1.49026	0.982973	4	2	1	0.384483	0	1.91646	-14.1485
psvid_55271_sp|RETBP_HUMAN|	RETBP_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	27.3686	576	9.16993	9.11526	0.015	-6.05889	False	-1.0591	>=32	3.52636	4.51941	-3.23476	10	13	1	0.00322358	0	5.64357	-10.5783
psvid_55291_sp|P06744|G6PI_HUMAN	G6PI_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	26.1622	31	4.9542	4.89953	0.000284	-11.7818	True	0.418088	16-31	0.148799	-0.405483	0.0168175	9	16	1	0.046589	0.0322581	4.8054	-11.3763
psvid_55316_sp|O43772|MCAT_HUMAN	MCAT_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	26.9251	41	5.35755	5.30288	0.000697	-10.4866	True	-0.473364	>=32	0.0211545	0.369822	0.276601	9	18	3	0.0691399	0	5.3364	-10.8564
psvid_55345_sp|Q14722|KCAB1_HUMAN	KCAB1_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	20.7157	1	0	-0.0546697	1.22e-05	-16.3228	True	0.00446041	1	-0.594665	-0.882173	-0.172213	2	1	0	0	0	0.594665	-15.4406
psvid_55352_sp|P49748|ACADV_HUMAN	ACADV_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	28.4925	91	6.50779	6.45312	0.000711	-10.4579	True	0.648319	>=32	0.0197979	-0.573368	0.521348	10	34	0	0	0	6.488	-9.88449
psvid_55362_sp|Q8WYA6|CTBL1_HUMAN	CTBL1_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	9.09e-06	-16.7473	True	0.429996	1					0	0		0		
psvid_55366_sp|Q92882|OSTF1_HUMAN	OSTF1_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	20.1312						False	-0.962841						0	1	1			
psvid_55422_sp|O75381|PEX14_HUMAN	PEX14_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.4704	15	3.90689	3.85222	0.000204	-12.2591	True	-0.146941	8-15	0.458097	0.437014	-0.344949	7	7	0	0	0	3.44879	-12.6962
psvid_55424_sp|Q92764|KRT35_HUMAN	KRT35_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		2	1	0.94533	2.25e-05	-15.4397	True	0.12305	2-3					0	0		1		
psvid_55431_sp|Q13740|CD166_HUMAN	CD166_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.6286	5	2.32193	2.26726	4.39e-05	-14.4754	True	0.480104	4-7	-0.360927	-1.06611	0.575189	6	3	5	0.574536	0	2.68286	-13.4093
psvid_55472_sp|Q9H4B7|TBB1_HUMAN	TBB1_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		33	5.04439	4.98972	0.000374	-11.3847	True	0.11031	>=32					0	0		0.969697		
psvid_55477_sp|Q99798|ACON_HUMAN	ACON_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.0597	7	2.80735	2.75269	4.59e-05	-14.4111	True	0.901207	4-7	0.676637	-0.471588	-0.498722	5	5	0	0	0	2.13072	-13.9396
psvid_55555_sp|P61421|VA0D1_HUMAN	VA0D1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.289	8	3	2.94533	0.000117	-13.0612	True	-0.252853	8-15	-0.295606	-0.225036	0.506484	7	6	2	0.360797	0	3.29561	-12.8362
psvid_55558_sp|Q08AH1|ACSM1_HUMAN	ACSM1_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	8.87e-06	-16.7826	True	0.465352	1					0	0		1		
psvid_55562_sp|Q13724|MOGS_HUMAN	MOGS_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	27.7712	79	6.30378	6.24911	0.000483	-11.0157	True	1.00221	>=32	0.370291	-0.680353	0.0236299	10	33	1	0.00871856	0	5.93349	-10.3353
psvid_55565_sp|O95232|LC7L3_HUMAN	LC7L3_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	22.7302	1	0	-0.0546697	1.18e-05	-16.3709	True	0.0464951	1	-1.83779	-2.14308	1.84226	4	1	1	0.876989	0	1.83779	-14.2278
psvid_55569_sp|P62341|SELT_HUMAN	SELT_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.1489	1	0	-0.0546697	2.62e-05	-15.2201	True	-1.10005	1	-1.377	-0.523916	1.26093	3	1	1	0.138278	0	1.377	-14.6962
psvid_55605_sp|P61586|RHOA_HUMAN	RHOA_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.3389	23	4.52356	4.46889	0.00061	-10.6789	True	-1.11419	16-31	1.18534	2.11829	-1.24434	7	3	0	0	0.652174	3.33822	-12.7972
psvid_55618_sp|Q92667|AKAP1_HUMAN	AKAP1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	22.2788	3	1.58496	1.53029	1.7e-05	-15.8441	True	1.11253	2-3	0.112381	-1.24118	-0.0996636	3	2	0	0	0	1.47258	-14.6029
psvid_55640_sp|Q14964|RB39A_HUMAN	RB39A_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		3	1.58496	1.53029	7.07e-05	-13.7879	True	-0.946872	2-3					0	0		1		
psvid_55643_sp|Q8NBJ9|SIDT2_HUMAN	SIDT2_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	19.9563						False	0.994034						0	1	1			
psvid_55650_sp|P09874|PARP1_HUMAN	PARP1_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	23.6635	4	2	1.94533	2.02e-05	-15.5953	True	1.2788	4-7	-0.717187	-2.2183	0.906207	6	2	0	0	0	2.71719	-13.377
psvid_55668_sp|P23588|IF4B_HUMAN	IF4B_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	20.423	1	0	-0.0546697	8.37e-06	-16.8663	True	0.548737	1	-0.495042	-1.30732	-0.464929	1	1	0	0	0	0.495042	-15.559
psvid_55681_sp|Q9UHW9|S12A6_HUMAN	S12A6_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	4.45e-06	-17.7778	True	1.46145	1					0	0		1		
psvid_55751_sp|Q02985|FHR3_HUMAN	FHR3_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	21.0286	3	1.58496	1.53029	4.65e-05	-14.3924	True	-0.340109	2-3	0.860392	0.913197	-1.34984	2	0	1	1	0.666667	0.724571	-15.3056
psvid_55753_sp|P00740|FA9_HUMAN	FA9_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	25.9271	22	4.45943	4.40476	0.000244	-12.0008	True	0.140229	16-31	-0.170565	-0.443877	0.428787	9	12	1	0.0591115	0	4.63	-11.557
psvid_55805_sp|Q13011|ECH1_HUMAN	ECH1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	25.765	23	4.52356	4.46889	0.000359	-11.4437	True	-0.350334	16-31	0.0200247	0.242047	0.181791	8	12	1	0.0033751	0	4.50354	-11.6858
psvid_55812_sp|P62316|SMD2_HUMAN	SMD2_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.2411	6	2.58496	2.53029	0.00026	-11.9092	True	-1.82395	4-7	0.28358	1.86595	-0.0841442	5	4	0	0	0	2.30138	-13.7752
psvid_55825_sp|P05186|PPBT_HUMAN	PPBT_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.3338	1	0	-0.0546697	9.76e-06	-16.6447	True	0.327328	1	-2.39144	-2.95673	2.44586	5	1	5	0.896221	0	2.39144	-13.688
psvid_55832_sp|Q92900|RENT1_HUMAN	RENT1_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	23.7338	2	1	0.94533	9.06e-06	-16.7521	True	1.43388	2-3	-1.78603	-3.4398	1.8957	6	1	4	0.777989	0	2.78603	-13.3123
psvid_55837_sp|Q9BRK5|CAB45_HUMAN	CAB45_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.9397	18	4.16993	4.11526	0.000254	-11.9429	True	-0.208014	16-31	0.336099	0.396676	-0.188081	8	10	1	0.095975	0	3.83383	-12.3396
psvid_55840_sp|P14324|FPPS_HUMAN	FPPS_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.4918	4	2	1.94533	4.88e-05	-14.3228	True	0.004696	4-7	0.360943	0.110343	-0.265422	4	3	0	0	0	1.63906	-14.4331
psvid_55858_sp|Q9H2X0|CHRD_HUMAN	CHRD_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	19.4529						False	1.19244						0	1	1			
psvid_55864_sp|Q8TD47|RS4Y2_HUMAN	RS4Y2_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		16	4	3.94533	0.000311	-11.6508	True	-0.668119	16-31					0	0		1		
psvid_55882_sp|A6NHL2|TBAL3_HUMAN	TBAL3_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		10	3.32193	3.26726	0.000115	-13.0861	True	0.093457	8-15					0	0		1		
psvid_55911_sp|O95479|G6PE_HUMAN	G6PE_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	29.569	146	7.18982	7.13515	0.000944	-10.0489	True	0.92134	>=32	-0.181083	-0.893029	0.861708	10	49	3	0.0087068	0	7.37091	-9.1559
psvid_55923_sp|B8ZZ34|SHSA8_HUMAN	SHSA8_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	1.29e-05	-16.2423	True	-0.0733891	1					0	0		0		
psvid_55942_sp|Q12792|TWF1_HUMAN	TWF1_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	19.102						False	-0.252727						0	1	1			
psvid_55965_sp|Q8WXF7|ATLA1_HUMAN	ATLA1_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		3	1.58496	1.53029	2.75e-05	-15.1502	True	0.417947	2-3					0	0		1		
psvid_55981_sp|Q08AH3|ACS2A_HUMAN	ACS2A_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.1973	30	4.90689	4.85222	0.000266	-11.8763	True	0.465633	16-31	2.64738	1.93933	-2.88772	5	4	1	0.552315	0.8	2.25951	-13.8156
psvid_56005_sp|P07205|PGK2_HUMAN	PGK2_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		2	1	0.94533	2.45e-05	-15.3169	True	-0.0020178	2-3					0	0		1		
psvid_56020_sp|Q9BZF2|OSBL7_HUMAN	OSBL7_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.7804	1	0	-0.0546697	6.08e-06	-17.3275	True	1.01023	1	-1.88118	-3.1435	1.89245	4	1	0	0	0	1.88118	-14.184
psvid_56029_sp|O00330|ODPX_HUMAN	ODPX_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.6396	7	2.80735	2.75269	7.15e-05	-13.7717	True	0.262022	4-7	0.113606	-0.372664	0.0811577	6	5	2	0.16831	0	2.69375	-13.399
psvid_56036_sp|P49770|EI2BB_HUMAN	EI2BB_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	21.8793	2	1	0.94533	2.92e-05	-15.0637	True	-0.25273	2-3	-0.195543	-0.193118	0.0412096	3	1	0	0	0	1.19554	-14.8706
psvid_56067_sp|Q9P2W9|STX18_HUMAN	STX18_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	22.9965	10	3.32193	3.26726	0.000153	-12.6742	True	-0.318688	8-15	1.24887	1.32096	-1.15058	5	5	2	0.200518	0	2.07306	-13.9951
psvid_56092_sp|P40939|ECHA_HUMAN	ECHA_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	30.451	216	7.75489	7.70022	0.001	-9.96578	False	0.892992	>=32	-0.338935	-1.40318	1.17616	10	49	4	0.00344161	0	8.09382	-8.5626
psvid_56110_sp|Q9H0U3|MAGT1_HUMAN	MAGT1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	25.2648	15	3.90689	3.85222	0.000229	-12.0924	True	-0.317674	8-15	-0.192711	-0.00651926	0.449521	8	5	0	0	0	4.0996	-12.0858
psvid_56144_sp|Q8ND30|LIPB2_HUMAN	LIPB2_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	19.0973						False	1.06728						0	1	1			
psvid_56180_sp|O15245|S22A1_HUMAN	S22A1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.1856	7	2.80735	2.75269	6.46e-05	-13.9181	True	0.406684	4-7	-0.398228	-0.999119	0.627142	7	4	0	0	0	3.20558	-12.919
psvid_56215_sp|P50225|ST1A1_HUMAN	ST1A1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.0536	25	4.64386	4.58919	0.000434	-11.17	True	-0.501993	16-31	1.55666	1.85924	-1.6863	6	3	1	0.0925309	0.72	3.08719	-13.0293
psvid_56240_sp|Q13310|PABP4_HUMAN	PABP4_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		2	1	0.94533	1.59e-05	-15.9406	True	0.624199	2-3					0	0		1		
psvid_56241_sp|Q14156|EFR3A_HUMAN	EFR3A_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	21.8583	3	1.58496	1.53029	1.87e-05	-15.7066	True	0.974343	2-3	0.402725	-0.823282	-0.520177	3	2	0	0	0	1.18224	-14.8833
psvid_56247_sp|Q86YB8|ERO1B_HUMAN	ERO1B_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.3358	7	2.80735	2.75269	7.67e-05	-13.6704	True	0.160698	4-7	-0.528261	-0.870838	0.777394	7	4	1	0.140842	0.285714	3.33562	-12.7996
psvid_56260_sp|Q9HCS7|SYF1_HUMAN	SYF1_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	18.5787	1	0	-0.0546697	5.98e-06	-17.3514	True	1.03314	1	-0.0749862	-1.11457	-2.3093	1	1	0	0	0	0.0749862	-16.2368
psvid_56289_sp|P08319|ADH4_HUMAN	ADH4_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	29.6969	157	7.29462	7.23995	0.002	-8.96578	False	-0.0897063	>=32	-0.180928	0.103859	0.879813	10	24	3	0.00285057	0.10828	7.47555	-9.06964
psvid_56362_sp|P09327|VILI_HUMAN	VILI_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.8567	3	1.58496	1.53029	1.86e-05	-15.7143	True	0.984145	2-3	-0.362957	-1.59693	0.478204	4	2	2	0.39456	0	1.94792	-14.1174
psvid_56376_sp|Q96G23|CERS2_HUMAN	CERS2_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	25.9341	15	3.90689	3.85222	0.000202	-12.2734	True	-0.136384	8-15	-0.728454	-0.721902	1.11883	9	6	2	0.0500121	0	4.63534	-11.5515
psvid_56390_sp|Q9BV94|EDEM2_HUMAN	EDEM2_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.5807	6	2.58496	2.53029	5.31e-05	-14.2009	True	0.468538	4-7	0.873334	0.156643	-0.744566	4	6	0	0	0	1.71163	-14.3576
psvid_56400_sp|O75828|CBR3_HUMAN	CBR3_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		9	3.16993	3.11526	0.000166	-12.5565	True	-0.593108	8-15					0	0		1		
psvid_56434_sp|O14662|STX16_HUMAN	STX16_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	21.1852	1	0	-0.0546697	1.57e-05	-15.9589	True	-0.362028	1	-0.798285	-0.723593	0.297242	2	1	2	0.699418	0	0.798285	-15.2353
psvid_56447_sp|O60664|PLIN3_HUMAN	PLIN3_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.8365	11	3.45943	3.40476	0.00013	-12.9092	True	0.0546965	8-15	-0.289835	-0.490854	0.531244	7	8	2	0.273203	0	3.74927	-12.4183
psvid_56461_sp|P55209|NP1L1_HUMAN	NP1L1_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.0641	3	1.58496	1.53029	3.93e-05	-14.6351	True	-0.0949448	2-3	0.267615	0.118434	-0.314389	3	2	0	0	0	1.31735	-14.7535
psvid_56468_sp|Q9H2U2|IPYR2_HUMAN	IPYR2_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	21.2483	2	1	0.94533	3.06e-05	-14.9961	True	-0.324191	2-3	0.170041	0.21042	-0.589787	2	2	1	0.272372	0	0.829959	-15.2065
psvid_56479_sp|Q96A65|EXOC4_HUMAN	EXOC4_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	5.25e-06	-17.5393	True	1.22137	1					0	0		0		
psvid_56495_sp|P51148|RAB5C_HUMAN	RAB5C_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.4836	16	4	3.94533	0.000379	-11.3655	True	-0.952279	16-31	0.540163	1.32053	-0.440313	7	5	1	0.0507451	0.3125	3.45984	-12.686
psvid_56523_sp|Q9Y2Z9|COQ6_HUMAN	COQ6_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.8976	8	3	2.94533	8.75e-05	-13.4804	True	0.163275	8-15	1.01598	0.601349	-0.884905	4	6	1	0.0741621	0	1.98402	-14.0817
psvid_56529_sp|Q9NZ08|ERAP1_HUMAN	ERAP1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	27.9176	94	6.55459	6.49992	0.000511	-10.9344	True	1.17193	>=32	0.512935	-0.687426	-0.10454	10	40	1	0.0131449	0	6.04165	-10.247
psvid_56539_sp|Q02818|NUCB1_HUMAN	NUCB1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	27.9877	91	6.50779	6.45312	0.001	-9.96578	False	0.142195	>=32	0.413718	0.238603	0.0165925	10	33	1	0.00166424	0	6.09408	-10.2044
psvid_56543_sp|Q9BV10|ALG12_HUMAN	ALG12_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	21.0623	1	0	-0.0546697	1.05e-05	-16.5393	True	0.221985	1	-0.740054	-1.24869	0.174334	2	1	1	0.344625	0	0.740054	-15.2906
psvid_56555_sp|P04792|HSPB1_HUMAN	HSPB1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	26.1526	34	5.08746	5.03279	0.000849	-10.2019	True	-1.02741	>=32	0.289084	1.18163	-0.162893	9	13	0	0	0	4.79838	-11.3836
psvid_56562_sp|P11021|BIP_HUMAN	BIP_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	31.7681	1217	10.2491	10.1944	0.01	-6.64386	False	0.628331	>=32	1.05755	1.02318	0.148612	10	59	3	0.000413744	0.0164339	9.19157	-7.66703
psvid_5656_sp|P23528|COF1_HUMAN	COF1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.6881	10	3.32193	3.26726	0.000308	-11.6648	True	-1.33203	8-15	0.580548	1.68945	-0.458938	6	6	1	0.183875	0.3	2.74138	-13.3542
psvid_56616_sp|Q14651|PLSI_HUMAN	PLSI_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	18.2803	1	0	-0.0546697	8.13e-06	-16.9083	True	0.590912	1	-0.0201276	-0.559709	-2.60769	1	0	1	1	1	0.0201276	-16.3486
psvid_56632_sp|SYH_HUMAN|	SYH_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	1.01e-05	-16.5953	True	0.283497	1					0	0		1		
psvid_56639_sp|Q9ULG6|CCPG1_HUMAN	CCPG1_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	21.8748	1	0	-0.0546697	6.76e-06	-17.1745	True	0.857837	1	-1.1927	-2.30126	0.986842	3	1	1	0.417	0	1.1927	-14.8733
psvid_56645_sp|Q99729|ROAA_HUMAN	ROAA_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	24.7567	5	2.32193	2.26726	7.71e-05	-13.6629	True	-0.332598	4-7	-1.36217	-1.18406	1.70335	7	2	0	0	0.4	3.6841	-12.4788
psvid_56830_sp|O95497|VNN1_HUMAN	VNN1_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.7997	12	3.58496	3.53029	0.00012	-13.0247	True	0.296	8-15	0.735017	0.227559	-0.646467	6	5	0	0	0	2.84995	-13.2522
psvid_56840_sp|Q9GZY8|MFF_HUMAN	MFF_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	1.5e-05	-16.0247	True	-0.290164	1					0	0		0		
psvid_56928_sp|Q9Y365|STA10_HUMAN	STA10_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	21.6058	1	0	-0.0546697	1.76e-05	-15.7941	True	-0.523201	1	-1.02743	-0.764027	0.717795	2	1	0	0	0	1.02743	-15.03
psvid_56970_sp|Q06033|ITIH3_HUMAN	ITIH3_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.8912	8	3	2.94533	4.6e-05	-14.408	True	1.09178	8-15	0.0629494	-1.2376	0.108677	6	7	2	0.599463	0	2.93705	-13.1704
psvid_56990_sp|Q8TBY0|RBM46_HUMAN	RBM46_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	21.3092	4	2	1.94533	3.84e-05	-14.6685	True	0.351349	4-7	1.1386	0.509993	-1.44803	2	1	0	0	0.5	0.861405	-15.1785
psvid_57016_sp|P48047|ATPO_HUMAN	ATPO_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	28.36	38	5.24793	5.19326	0.000913	-10.0971	True	-0.97264	>=32	-1.13352	-0.125628	1.84603	10	13	0	0	0	6.38144	-9.97147
psvid_57041_sp|P04233|HG2A_HUMAN	HG2A_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.0556	5	2.32193	2.26726	8.64e-05	-13.4986	True	-0.496922	4-7	1.01037	1.26049	-0.997809	3	3	0	0	0	1.31156	-14.7591
psvid_57045_sp|Q32M88|PGGHG_HUMAN	PGGHG_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	20.2016						False	0.819725						0	1	1			
psvid_57059_sp|P08138|TNR16_HUMAN	TNR16_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	17.9642						False	0.030456						0	1	1			
psvid_57079_sp|Q05397|FAK1_HUMAN	FAK1_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	4.86e-06	-17.6506	True	1.33297	1					0	0		0		
psvid_57122_sp|Q16720|AT2B3_HUMAN	AT2B3_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		2	1	0.94533	8.39e-06	-16.8629	True	1.54635	2-3					0	0		1		
psvid_57214_sp|Q9H329|E41LB_HUMAN	E41LB_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	5.68e-06	-17.4257	True	1.10659	1					0	0		1		
psvid_57275_sp|Q15818|NPTX1_HUMAN	NPTX1_HUMAN	AZ907	B2021-05-06	control	True	False	False	False	21.6601						False	0.0522968						0	1	1			
psvid_57284_sp|Q13573|SNW1_HUMAN	SNW1_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	21.0232	2	1	0.94533	1.91e-05	-15.6761	True	0.359768	2-3	0.277955	-0.368007	-0.814911	2	1	0	0	0	0.722045	-15.3081
psvid_57302_sp|P63135|POK7_HUMAN	POK7_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		2	1	0.94533	7.01e-06	-17.1222	True	1.80489	2-3					0	0		1		
psvid_57350_sp|P01893|HLAH_HUMAN	HLAH_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	20.1751	19	4.24793	4.19326	0.000269	-11.8601	True	-0.209072	16-31	3.82526	3.79296	-5.05328	1	1	0	0	0.947368	0.422665	-15.6531
psvid_57382_sp|O76031|CLPX_HUMAN	CLPX_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	19.3166	1	0	-0.0546697	8.08e-06	-16.9172	True	0.59995	1	-0.222065	-0.954913	-1.57139	1	1	0	0	0	0.222065	-15.9623
psvid_57427_sp|Q9BZQ6|EDEM3_HUMAN	EDEM3_HUMAN	AZ907	B2021-05-06	control	True	True	True	True	23.8513	11	3.45943	3.40476	6.04e-05	-14.0151	True	1.1574	8-15	0.560187	-0.809162	-0.453878	6	9	3	0.252945	0	2.89924	-13.2059
psvid_57481_sp|Q6NUQ1|RINT1_HUMAN	RINT1_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	21.8752	3	1.58496	1.53029	1.94e-05	-15.6536	True	0.92128	2-3	0.392004	-0.78055	-0.50328	3	2	0	0	0	1.19296	-14.873
psvid_57510_sp|P53597|SUCA_HUMAN	SUCA_HUMAN	AZ907	B2021-05-06	control	True	True	True	False	22.3895	3	1.58496	1.53029	4.44e-05	-14.4591	True	-0.272396	2-3	0.0271851	0.0579461	0.0110497	4	2	1	0.133675	0	1.55778	-14.517
psvid_57524_sp|Q9BQQ7|RTP3_HUMAN	RTP3_HUMAN	AZ907	B2021-05-06	control	False	True	False	False		1	0	-0.0546697	2.21e-05	-15.4656	True	-0.848304	1					0	0		0		
